epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4007,1.96318,5.38126,2.32587,0.00029,0.21429,0.00185,0.00027,3.0908,5.05521,3.47997,0.00045,0.00045,0.09145
2,85.3297,2.13123,4.63462,2.28158,0.00075,0.26032,0.01529,0.00478,2.88796,4.81467,3.76546,0.000902975,0.000902975,0.081903
3,125.73,2.24647,4.5506,2.39062,0.00141,0.39226,0.00233,0.00082,2.84883,4.67652,4.25023,0.00130645,0.00130645,0.0723065
4,165.493,1.99039,3.92896,2.20276,0.54939,0.02083,0.01142,0.00481,3.06108,7.54073,8.22094,0.00166042,0.00166042,0.0626604
5,205.612,2.07688,3.92437,2.23243,0.00287,0.04861,0.00224,0.00099,3.03384,166.212,7.80933,0.0019649,0.0019649,0.0529649
6,246.921,2.10647,3.88879,2.30706,0.00097,0.32361,0.00303,0.00081,3.61034,3347.04,29.5645,0.00221988,0.00221988,0.0432199
7,293.379,2.22628,4.02636,2.38245,0.02218,0.13611,0.00721,0.00185,3.33831,1493.64,12.3451,0.00242535,0.00242535,0.0334253
8,336.895,2.15711,3.69827,2.26757,0.20004,0.28254,0.01877,0.007,3.36921,1500.19,14.0645,0.00258133,0.00258133,0.0235813
9,380.479,1.97783,3.67461,2.23524,0.01138,0.53988,0.04732,0.01126,3.0726,254.165,6.95795,0.0026878,0.0026878,0.0136878
10,423.703,2.01229,3.38163,2.17613,0.00651,0.39683,0.03086,0.00808,3.28638,180.177,12.9592,0.00274478,0.00274478,0.00374477
11,469.548,1.91937,3.62413,2.10801,0.5136,0.12381,0.01865,0.00616,3.12333,353.897,9.85231,0.002525,0.002525,0.002525
12,512.347,1.98848,3.20096,2.16752,0.33662,0.06667,0.00522,0.00109,3.40475,25.2837,4.13296,0.0022775,0.0022775,0.0022775
13,556.673,1.83986,3.33235,2.04686,0.45137,0.02083,0.02326,0.01344,3.17556,5.2591,3.07497,0.00203,0.00203,0.00203
14,601.072,1.9547,3.05136,2.07341,0.01179,0.47083,0.03389,0.01068,2.25628,22.0659,2.56139,0.0017825,0.0017825,0.0017825
15,644.403,1.84227,2.98255,2.03051,0.0266,0.48333,0.05806,0.02531,2.11386,17.8029,2.33491,0.001535,0.001535,0.001535
16,690.987,1.69526,3.22274,1.82355,0.25313,0.20119,0.17235,0.09141,1.96024,7.02279,2.24114,0.0012875,0.0012875,0.0012875
17,738.078,1.67713,2.93167,1.85535,0.18293,0.4902,0.23871,0.14784,1.74208,5.31809,1.9047,0.00104,0.00104,0.00104
18,780.196,1.81988,2.91207,1.96509,0.17926,0.61726,0.22611,0.13525,1.79288,4.69267,1.86257,0.0007925,0.0007925,0.0007925
19,824.115,1.78488,3.09068,1.9445,0.19789,0.66287,0.24454,0.15198,1.68209,3.86748,1.79717,0.000545,0.000545,0.000545
20,865.386,1.66996,2.85622,1.83152,0.27468,0.46731,0.34064,0.18645,1.61359,2.92408,1.74873,0.0002975,0.0002975,0.0002975
