epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.068,1.93699,5.15055,2.31989,0.00154,0.36032,0.02679,0.01165,2.25417,4.82269,2.69389,0.00013,0.00013,0.08713
2,91.7374,1.80033,4.22322,2.17128,0.00293,0.53413,0.07192,0.04922,2.04996,4.48336,2.33713,0.000267327,0.000267327,0.0732673
3,101.827,1.59353,3.78721,1.96956,0.00292,0.33095,0.03493,0.02456,2.37364,4.73197,2.80358,0.000401882,0.000401882,0.0594019
4,139.234,1.5766,3.59911,1.85797,0.00633,0.78571,0.0688,0.0448,1.73114,4.23519,2.21563,0.000533665,0.000533665,0.0455337
5,157.743,1.52149,3.23674,1.79617,0.42794,0.20615,0.19274,0.11501,1.63078,4.1235,2.11595,0.000662676,0.000662676,0.0316627
6,182.892,1.53046,3.17203,1.789,0.35986,0.15714,0.13831,0.09768,1.87186,4.84828,2.59426,0.000788915,0.000788915,0.0177889
7,192.718,1.64899,2.94882,1.85752,0.55149,0.27213,0.31357,0.24348,1.65052,3.58361,2.13868,0.000912382,0.000912382,0.00391238
8,214.05,1.58129,2.77786,1.78224,0.46124,0.20317,0.25382,0.15478,1.79068,3.72943,2.1425,0.0009307,0.0009307,0.0009307
9,227.912,1.58657,2.97941,1.71246,0.35263,0.35887,0.36745,0.2574,1.57863,4.50035,1.91775,0.0009208,0.0009208,0.0009208
10,233.496,1.47971,2.50234,1.72546,0.44214,0.38638,0.3885,0.20977,1.89883,4.09197,2.58595,0.0009109,0.0009109,0.0009109
11,292.098,1.52239,2.71487,1.691,0.58818,0.42222,0.48857,0.32727,1.62554,3.40555,1.93209,0.000901,0.000901,0.000901
12,308.634,1.46441,2.32346,1.67778,0.66461,0.39363,0.42402,0.31475,1.4842,3.24786,1.69201,0.0008911,0.0008911,0.0008911
13,332.761,1.43878,2.56886,1.6315,0.4273,0.49805,0.48095,0.36384,1.51346,4.23313,1.778,0.0008812,0.0008812,0.0008812
14,341.813,1.32374,2.26877,1.46998,0.431,0.56349,0.48589,0.33086,1.47357,5.34007,1.74512,0.0008713,0.0008713,0.0008713
15,371.817,1.29934,2.08191,1.53518,0.38224,0.54822,0.42399,0.31145,1.52219,7.26904,1.76828,0.0008614,0.0008614,0.0008614
16,382.357,1.27684,1.89494,1.50234,0.55535,0.40607,0.479,0.304,1.67548,3.8959,1.83514,0.0008515,0.0008515,0.0008515
17,388.86,1.32328,1.86972,1.55213,0.59481,0.57395,0.56491,0.40323,1.49068,3.37928,1.69269,0.0008416,0.0008416,0.0008416
18,394.839,1.41466,1.95965,1.51855,0.49952,0.58717,0.54447,0.36338,1.51272,2.85805,1.68487,0.0008317,0.0008317,0.0008317
19,400.829,1.44451,1.95352,1.54972,0.74732,0.55794,0.66232,0.45103,1.45306,2.70882,1.63712,0.0008218,0.0008218,0.0008218
20,2456.89,1.34388,1.9347,1.49714,0.36993,0.46337,0.35902,0.23038,1.62244,3.06301,1.77967,0.0008119,0.0008119,0.0008119
21,3392.84,1.26833,1.76412,1.43881,0.58451,0.61216,0.60105,0.41078,1.56531,3.98731,1.81457,0.000802,0.000802,0.000802
22,4298.56,1.23235,1.63544,1.50182,0.60204,0.54095,0.51425,0.38635,1.50759,5.74982,1.75418,0.0007921,0.0007921,0.0007921
23,5799.81,1.25298,1.53259,1.44156,0.61868,0.45246,0.46462,0.36478,1.56356,5.19703,1.7672,0.0007822,0.0007822,0.0007822
24,5806.53,1.29458,1.64858,1.47708,0.38279,0.58102,0.46426,0.3428,1.46761,6.12815,1.71409,0.0007723,0.0007723,0.0007723
25,5858.22,1.21407,1.63026,1.44249,0.44097,0.67196,0.55065,0.39783,1.4968,6.21908,1.69534,0.0007624,0.0007624,0.0007624
26,5867.36,1.19332,1.53439,1.41464,0.68383,0.41587,0.49353,0.35352,1.37562,3.10144,1.54875,0.0007525,0.0007525,0.0007525
27,5874.33,1.16974,1.47217,1.42684,0.81554,0.55999,0.59062,0.44583,1.36732,2.67533,1.54653,0.0007426,0.0007426,0.0007426
28,5880.8,1.19469,1.41632,1.37865,0.76444,0.60464,0.64067,0.47028,1.42609,2.13341,1.62466,0.0007327,0.0007327,0.0007327
29,5886.85,1.15971,1.37483,1.35901,0.82047,0.63004,0.67711,0.49343,1.45336,1.91493,1.66407,0.0007228,0.0007228,0.0007228
30,5892.94,1.15746,1.26247,1.38213,0.87335,0.53108,0.6753,0.48665,1.46208,2.10115,1.6883,0.0007129,0.0007129,0.0007129
31,5898.87,1.09231,1.31604,1.35218,0.86644,0.64985,0.77207,0.55104,1.40305,1.73998,1.62353,0.000703,0.000703,0.000703
32,5904.44,1.18835,1.29582,1.35457,0.78112,0.72922,0.80311,0.54339,1.36909,1.58175,1.54215,0.0006931,0.0006931,0.0006931
33,5910.12,1.06019,1.18189,1.32537,0.77541,0.637,0.74621,0.50788,1.35895,1.7148,1.54064,0.0006832,0.0006832,0.0006832
34,5915.76,1.08307,1.16607,1.29063,0.71687,0.71566,0.70346,0.45497,1.41939,1.76215,1.6308,0.0006733,0.0006733,0.0006733
35,5921.43,1.08761,1.1001,1.36957,0.74338,0.73376,0.74939,0.47196,1.41874,1.74524,1.62536,0.0006634,0.0006634,0.0006634
36,5927.01,1.01448,1.06652,1.22681,0.80005,0.72945,0.74724,0.51773,1.44773,1.62119,1.71032,0.0006535,0.0006535,0.0006535
37,5932.45,1.05148,1.03379,1.29148,0.83707,0.79317,0.80388,0.5616,1.34188,1.71726,1.59805,0.0006436,0.0006436,0.0006436
38,5937.82,1.04429,1.02772,1.25685,0.73903,0.76798,0.79234,0.53479,1.42083,1.71157,1.60889,0.0006337,0.0006337,0.0006337
39,5943.31,1.0951,1.0753,1.28319,0.76983,0.68567,0.726,0.50688,1.45649,1.7815,1.62476,0.0006238,0.0006238,0.0006238
40,5948.75,1.05907,1.03583,1.28259,0.67475,0.6824,0.70925,0.49627,1.38653,1.74305,1.59271,0.0006139,0.0006139,0.0006139
41,5954.31,1.09278,0.98434,1.3115,0.79858,0.70326,0.78497,0.54026,1.37922,1.61233,1.58043,0.000604,0.000604,0.000604
42,5959.68,0.99043,0.9451,1.23629,0.83557,0.67075,0.78784,0.53567,1.39405,1.57391,1.54124,0.0005941,0.0005941,0.0005941
43,5965.35,1.0049,0.9833,1.24941,0.89366,0.64262,0.77649,0.56609,1.36759,1.51566,1.53132,0.0005842,0.0005842,0.0005842
44,5970.85,1.00872,0.89011,1.25519,0.82225,0.65002,0.76215,0.53307,1.38816,1.48156,1.55432,0.0005743,0.0005743,0.0005743
45,5975.92,1.04427,0.89311,1.27431,0.83189,0.73917,0.79449,0.58732,1.32952,1.46452,1.5013,0.0005644,0.0005644,0.0005644
46,5981.02,0.94811,0.85788,1.17086,0.88413,0.69454,0.77914,0.57657,1.3706,1.49694,1.51686,0.0005545,0.0005545,0.0005545
47,5986.04,1.01717,0.90741,1.18834,0.85693,0.74281,0.80488,0.58385,1.25163,1.47605,1.42137,0.0005446,0.0005446,0.0005446
48,5991.23,0.98701,0.86217,1.24108,0.8116,0.76852,0.82002,0.59097,1.27437,1.47837,1.48127,0.0005347,0.0005347,0.0005347
49,5996.37,1.04852,0.88409,1.2237,0.79469,0.74504,0.78969,0.59254,1.30336,1.50476,1.50582,0.0005248,0.0005248,0.0005248
50,6001.43,0.896,0.85472,1.16365,0.83884,0.7216,0.79653,0.58066,1.33901,1.4362,1.49365,0.0005149,0.0005149,0.0005149
51,6006.56,0.93327,0.88584,1.19456,0.77533,0.71305,0.78207,0.58736,1.31192,1.3517,1.47771,0.000505,0.000505,0.000505
52,6011.72,0.94482,0.84086,1.1896,0.79339,0.75839,0.7741,0.5532,1.34963,1.37095,1.505,0.0004951,0.0004951,0.0004951
53,6016.91,0.9479,0.83395,1.13811,0.76605,0.81808,0.82463,0.57756,1.33055,1.33157,1.4978,0.0004852,0.0004852,0.0004852
54,6021.97,0.87005,0.84176,1.16634,0.8144,0.75238,0.81279,0.59012,1.38484,1.41199,1.53461,0.0004753,0.0004753,0.0004753
55,6027.34,0.89367,0.80078,1.1075,0.85179,0.7179,0.7901,0.59107,1.32092,1.60829,1.49195,0.0004654,0.0004654,0.0004654
56,6032.66,0.91255,0.77699,1.13878,0.82553,0.77079,0.78615,0.59299,1.30907,1.46093,1.51933,0.0004555,0.0004555,0.0004555
57,6037.88,0.92414,0.7606,1.14059,0.83898,0.75828,0.78957,0.58245,1.32205,1.40491,1.54684,0.0004456,0.0004456,0.0004456
58,6043.66,0.90025,0.76462,1.15455,0.8786,0.70287,0.76529,0.58444,1.37927,1.42706,1.59153,0.0004357,0.0004357,0.0004357
59,6049.09,0.91487,0.77481,1.11511,0.7716,0.7318,0.76493,0.58255,1.38025,1.45934,1.5536,0.0004258,0.0004258,0.0004258
60,6054.62,0.80572,0.75512,1.07852,0.86,0.72889,0.79201,0.57668,1.34029,1.45052,1.50652,0.0004159,0.0004159,0.0004159
61,6060.09,0.83328,0.75916,1.11263,0.89185,0.69931,0.80565,0.59293,1.29256,1.36426,1.45495,0.000406,0.000406,0.000406
62,6065.56,0.80321,0.72422,1.10905,0.9592,0.65993,0.80162,0.58988,1.25641,1.32187,1.46622,0.0003961,0.0003961,0.0003961
63,6071.25,0.82498,0.68417,1.08272,0.92689,0.68571,0.81575,0.59379,1.29467,1.24913,1.48578,0.0003862,0.0003862,0.0003862
64,6076.81,0.80517,0.71449,1.08614,0.89345,0.69205,0.7973,0.58956,1.35831,1.24034,1.54752,0.0003763,0.0003763,0.0003763
65,6081.88,0.81422,0.67999,1.1071,0.83474,0.71328,0.8115,0.59268,1.32215,1.29723,1.50188,0.0003664,0.0003664,0.0003664
66,6087.08,0.80165,0.70172,1.07572,0.87484,0.70782,0.81663,0.59005,1.34001,1.34775,1.53173,0.0003565,0.0003565,0.0003565
67,6092.35,0.77906,0.64648,1.06581,0.85667,0.76364,0.82864,0.59103,1.3418,1.32868,1.55094,0.0003466,0.0003466,0.0003466
68,6097.61,0.76927,0.70925,1.05948,0.89191,0.744,0.83802,0.57742,1.36502,1.26541,1.5839,0.0003367,0.0003367,0.0003367
69,6103.15,0.77451,0.66101,1.03788,0.82872,0.76176,0.84094,0.58786,1.33875,1.24236,1.56192,0.0003268,0.0003268,0.0003268
70,6108.83,0.74598,0.63893,1.03238,0.82351,0.72671,0.81387,0.58912,1.35084,1.24604,1.56013,0.0003169,0.0003169,0.0003169
71,6114.19,0.7578,0.59388,1.07242,0.84808,0.75956,0.82637,0.59967,1.35249,1.29025,1.5752,0.000307,0.000307,0.000307
72,6119.59,0.76045,0.66763,1.03041,0.86851,0.76411,0.82437,0.58086,1.35278,1.35442,1.58122,0.0002971,0.0002971,0.0002971
73,6124.89,0.75059,0.62689,1.06968,0.8744,0.78722,0.83038,0.60568,1.31091,1.33419,1.55938,0.0002872,0.0002872,0.0002872
74,6130.26,0.74877,0.621,1.03418,0.90372,0.78174,0.7961,0.60858,1.28335,1.37496,1.53916,0.0002773,0.0002773,0.0002773
75,6135.61,0.74322,0.62048,1.09438,0.90011,0.76248,0.79522,0.60838,1.2603,1.32188,1.54551,0.0002674,0.0002674,0.0002674
76,6141.25,0.72808,0.62904,1.03179,0.92947,0.7586,0.79983,0.61228,1.29337,1.27165,1.577,0.0002575,0.0002575,0.0002575
77,6147.64,0.7477,0.5983,1.04606,0.90208,0.75663,0.81149,0.58981,1.31433,1.30344,1.62042,0.0002476,0.0002476,0.0002476
78,6153.32,0.73379,0.60387,1.00822,0.91646,0.73571,0.79735,0.56102,1.32756,1.33235,1.63575,0.0002377,0.0002377,0.0002377
79,6158.74,0.68588,0.56692,1.02263,0.94046,0.76117,0.83,0.56529,1.32656,1.32891,1.63718,0.0002278,0.0002278,0.0002278
80,6164.3,0.66272,0.55769,1.00877,0.90668,0.76112,0.81858,0.5644,1.33824,1.36739,1.63765,0.0002179,0.0002179,0.0002179
81,6169.93,0.70542,0.58647,1.02632,0.91899,0.78174,0.82523,0.59657,1.31863,1.37974,1.63693,0.000208,0.000208,0.000208
82,6175.56,0.66758,0.56564,0.99532,0.91084,0.79753,0.84412,0.61823,1.28093,1.39431,1.59591,0.0001981,0.0001981,0.0001981
83,6181.44,0.68951,0.57585,1.03817,0.8948,0.80502,0.8394,0.62558,1.25781,1.3936,1.56599,0.0001882,0.0001882,0.0001882
84,6186.92,0.67581,0.59316,1.0281,0.89831,0.81905,0.83909,0.62717,1.25456,1.39373,1.56412,0.0001783,0.0001783,0.0001783
85,6192.07,0.66477,0.56219,1.01392,0.86109,0.80238,0.81579,0.6224,1.22356,1.36358,1.5458,0.0001684,0.0001684,0.0001684
86,6197.44,0.68525,0.55768,0.99908,0.88975,0.75335,0.83494,0.61623,1.22477,1.32284,1.54437,0.0001585,0.0001585,0.0001585
87,6203.32,0.65315,0.52983,0.9948,0.95176,0.72396,0.83302,0.61495,1.222,1.31751,1.54177,0.0001486,0.0001486,0.0001486
88,6208.81,0.62769,0.53036,0.99925,0.90718,0.73301,0.82754,0.60391,1.21689,1.34339,1.5252,0.0001387,0.0001387,0.0001387
